rm_name,rm_type,lat,lng,source,beds,alt_name
Shri Kiranchok Katunje Ma V,school,27.7604,84.9256,OSM infrastructure,,
Shree Mahadev Pra V,school,27.7802,84.9086,OSM infrastructure,,
Shri Pukun Pra V,school,27.7466,84.9125,OSM infrastructure,,
Maddarsha Hanfiya Pra V,school,27.7534,85.0634,OSM infrastructure,,
Shri kiranchok karkidanda Uchha Ma Vi,school,27.7621,84.9562,OSM infrastructure,,
Shree Ganesh Primary School,school,27.7034,85.1105,OSM infrastructure,,
Shree Grey Ni Ma Vi,school,28.1435,85.2951,OSM infrastructure,,
Shree Ghormu Pra Vi,school,28.0132,85.2530,OSM infrastructure,,
Shree Arukharka Pra Vi,school,28.0217,85.2651,OSM infrastructure,,
Shree Narayan Ma Vi,school,28.0264,85.2777,OSM infrastructure,,
Shree Thangdor Pra.Vi.,school,28.0306,85.2966,OSM infrastructure,,
Shree Surya Pra Vi,school,28.0360,85.3082,OSM infrastructure,,
Shree Simbandi Pra Vi,school,28.0411,85.3168,OSM infrastructure,,
Shree Larachyang Pra Vi,school,28.0171,85.2859,OSM infrastructure,,
Shree Bhumedebi Pra Vi,school,28.0049,85.2994,OSM infrastructure,,
Shree Gyanodaya Pra Vi,school,28.0055,85.2843,OSM infrastructure,,
Shree Gautam Buddha Ma Vi,school,28.0058,85.2713,OSM infrastructure,,
Shree Namuna Pra Vi,school,27.9910,85.2778,OSM infrastructure,,
Shree Dupcheswari Ni Ma Vi,school,27.9958,85.2706,OSM infrastructure,,
Shree Gaurishankar Pra Vi,school,27.9787,85.2776,OSM infrastructure,,
Shree Bhumeswari Pra Vi,school,27.9754,85.2763,OSM infrastructure,,
Shree Nirkubhume Uchha Ma Vi,school,27.9747,85.2717,OSM infrastructure,,
Shree Saraswoti Ni Ma Vi,school,28.1884,85.2981,OSM infrastructure,,
Gonggang Pra Vi,school,28.1992,85.2972,OSM infrastructure,,
Shree Tatopani Pra Vi,school,28.2180,85.2938,OSM infrastructure,,
Shree Pajung Pra Vi,school,28.1849,85.3275,OSM infrastructure,,
Shree Saraswoti Ni.Ma.V,school,28.0771,85.2445,OSM infrastructure,,
