lon,lat,2026-08-26_0000,2026-08-26_0800,2026-08-26_1600,2026-08-27_0000,2026-08-27_0800,2026-08-27_1600,2026-08-28_0000,2026-08-28_0800,2026-08-28_1600,2026-08-29_0000,2026-08-29_0800,2026-08-29_1600,2026-08-30_0000,2026-08-30_0800,2026-08-30_1600,2026-08-31_0000,2026-08-31_0800,2026-08-31_1600,2026-09-01_0000,2026-09-01_0800,2026-09-01_1600,2026-09-02_0000,2026-09-02_0800,2026-09-02_1600,2026-09-03_0000,2026-09-03_0800,2026-09-03_1600,2026-09-04_0000,2026-09-04_0800,2026-09-04_1600,2026-09-05_0000,2026-09-05_0800,2026-09-05_1600,2026-09-06_0000,2026-09-06_0800,2026-09-06_1600
85.067139,27.868216,,,,,,,-59.16,,-54.57,-55.09,,-57.56,-55.12,,-57.47,-62.0,,-59.8,-50.37,-46.46,-46.28,-42.85,-44.36,-46.78,-39.81,,-39.72,-32.69,,-44.46,-30.89,-29.19,-28.71,-23.01,-38.08,-38.99
85.067139,27.887639,,,,,,,,,,,,,,,,,,,-26.79,-14.39,-11.44,-17.58,,-28.06,-26.93,-26.0,-20.7,-18.43,-26.66,-18.96,-24.29,-20.0,-11.23,-11.22,,-13.83
85.067139,27.907058,,,,,,,,,,,,,,,,,,,-29.32,,,,,,,,,-10.66,,-14.47,-27.24,,-11.18,,,
85.067139,27.945886,,,,,,,,,,,,,-47.38,,-38.81,-28.97,,-28.01,-18.09,-15.89,10.35,,-28.39,,,,,,,-12.71,,-17.47,,,,
85.067139,27.965294,,,,,,,,,,,,,,,,-28.81,,-24.66,-21.25,-11.38,,,,,,,,,-10.5,-12.78,,,13.04,,,
85.067139,27.9847,,,,,,,,,,,,,-44.05,,-30.71,,-14.12,,-14.52,-16.86,,,-10.52,24.58,,-23.95,,,-17.45,-11.7,,,31.25,,-15.51,19.55
85.067139,28.178559,,,,,,,,,,,,,,,15.9,39.86,,,,,,32.11,,,26.92,,19.97,20.01,,23.54,21.78,,10.54,14.22,,13.31
85.089111,27.71271,,,,,,,,,,,-20.93,,13.03,,,,,-47.01,-15.44,-21.54,,,,,-13.97,,,13.58,,,,,,,,
85.089111,27.73216,,,,,,,,,,,,,,,,,-43.57,-24.13,,-21.72,,,,,,-14.22,,,,,,-12.57,,,-12.85,
85.089111,27.751607,,-18.11,,,,,,-14.12,,,-15.82,,,-14.49,,,-38.91,-17.07,-10.88,-35.68,-20.1,-22.19,-23.51,-16.19,-13.52,-22.04,-10.83,-18.41,-17.9,-21.99,-12.02,-25.61,-17.17,-15.51,-29.46,
85.089111,27.771051,12.48,-15.58,,,,,15.97,,,11.39,-17.07,,,,,,-31.37,,,-24.78,-25.81,,-13.11,,,-15.19,,,-12.17,,,-27.48,,,-21.21,
85.089111,27.790491,-12.97,,,,,,,,15.84,10.35,,-11.68,,,,,,,,,-20.48,-13.37,,,,,,,-16.59,-10.37,,,,-21.9,,
85.089111,27.809927,,,,,,,,-11.79,26.59,,,13.34,,19.99,15.09,19.64,,-13.72,,,,,,,21.48,,16.24,16.18,,19.04,23.23,,,-14.79,,-13.51
85.089111,27.82936,,,,-36.08,-36.68,-27.19,-11.05,-15.83,,,-24.33,,,-14.17,,,-44.96,-27.51,,-12.11,-16.97,,-13.19,,,,,,-10.69,,,-11.54,,,-35.51,
85.089111,27.84879,,,,-77.23,-73.57,-69.84,-53.65,-56.67,-39.49,-46.26,-62.03,-45.76,-44.49,-54.58,-51.2,-49.5,-63.24,-55.44,-41.99,-49.22,-43.49,-38.78,-43.37,-40.84,-30.16,-39.87,-33.72,-28.43,-41.67,-28.29,-28.48,-34.07,-20.54,-29.32,-39.82,-26.63
85.089111,27.868216,-79.25,,,-75.03,,-73.99,-63.36,-65.06,-59.69,-53.43,-63.82,-55.2,-55.47,-56.22,-56.33,-51.45,-60.94,-46.38,-34.05,-33.79,-23.38,-21.9,-32.7,-25.69,-20.07,-33.65,-19.68,-14.93,-27.27,-26.61,-15.87,-26.44,-13.8,-12.1,-34.49,-15.9
85.089111,27.887639,-72.78,,,-67.82,,-59.22,-57.95,-58.72,-55.96,-48.89,-50.73,-45.59,-43.68,-43.04,-43.64,-53.19,-53.51,-42.61,-20.8,-17.89,,-10.38,-23.05,-14.68,-13.33,-29.98,-10.57,,-24.1,-11.12,,-24.34,,,-23.03,
